feature,completeness,mi_subtype,mi_stage,score
NP3PTRML,0.961038961038961,0.007407975555853374,0.04166824783743284,0.11304915578863799
GDSHAPPY,0.9791280148423006,0.009639104158968959,0.02935143583861244,0.11250169473119517
VITAL_HRSUP_x,0.9693877551020408,0.00862191522584932,0.03457744598281387,0.11248515844055783
RBDSQ_DRMNOCTB,0.9809833024118738,0.018344032861671522,0.011209309005135282,0.11246754265973088
SCOPA_SCAU21,0.9814471243042672,0.017811453224766405,0.010868353824439403,0.11209209051261838
VITAL_HTCM_x,0.9684601113172542,0.011441740843161075,0.02780764058971741,0.11205334781453728
QUIP_CNTRLBUY,0.9814471243042672,0.006590138732109674,0.03304294467495694,0.1120116790721796
RBDSQ_SLPINJUR,0.9833024118738405,0.0,0.04531189496908716,0.1119238096781102
QUIP_CNTRLEAT,0.9819109461966605,0.009578830785229364,0.02648386346377407,0.11188355212993589
RBDSQ_DRMVERBL,0.9833024118738405,0.0006198707395630443,0.04276063767542215,0.11153035493374852
MCAVIGIL,0.9675324675324676,0.0,0.04913408224240712,0.1114934714259689
ESS_ESS1,0.9819109461966605,0.009874681714427291,0.024170650511550207,0.1113670988017875
SCOPA_SCAU3,0.9819109461966605,0.0,0.04358787025856259,0.11126745569723484
RBDSQ_DRMVIVID,0.9833024118738405,0.0016058163324539354,0.03922223241841749,0.11106040071238166
RBDSQ_DRMUMV,0.9833024118738405,0.02103159152815981,0.0,0.11094919610427993
ESS_ESS2,0.9819109461966605,0.004181765511036106,0.033881372341758365,0.11086456562881523
QUIP_GAMBLING_POS,0.9819109461966605,0.011618789849587863,0.01845815324532829,0.11069981450301726
GDSWRTLS,0.9791280148423006,0.010330531538663035,0.02162292451120784,0.11059799776079024
GDSBETER,0.9791280148423006,0.019672448282787247,0.002742512853604495,0.11053902430998376
QUIP_ICD_COUNT,0.9819109461966605,0.0014736576497460518,0.03769568173332072,0.11038399372950991
VITAL_HRSTND_x,0.9661410018552876,0.0,0.04577410822181349,0.11034633265207282
SCOPA_SCAU12,0.9819109461966605,0.016902966127973595,0.006577066047184665,0.11030599411060561
GDSENRGY,0.9795918367346939,0.011773341845822571,0.01697636551090831,0.11011609843423543
NP1ANXS,0.9833024118738405,0.004469657753249701,0.030025011360823584,0.11001953924758094
SCOPA_SCAU19,0.9823747680890538,0.0,0.039128757841671025,0.10997610416140668
VITAL_DIASUP_y,0.9698515769944341,0.0,0.042311856842901285,0.1096787147523138
QUIP_DDS,0.9819109461966605,0.012774900564222147,0.012495247603295567,0.10960460923918802
MCAREC2,0.9670686456400742,0.021151379773727275,0.0,0.10939769242824379
VITAL_TEMPC_y,0.9619666048237476,0.01098152616231518,0.02194462126705954,0.10936896255988174
SCOPA_SCAU5,0.9823747680890538,0.00411814457814863,0.02885534464405204,0.10936496694901017
QUIP_BUYING_POS,0.9819109461966605,0.01856471613305377,0.0,0.10932992429949832
SCOPA_SCAU18,0.9823747680890538,0.018433097739406712,0.0,0.10929733545254941
NP3KTRML,0.961038961038961,0.0,0.04391240570284083,0.10927761781474836
SCOPA_SCAU26A,0.9819109461966605,0.004077487414639869,0.028412535293195873,0.10916134765640874
RBDSQ_DRMFIGHT,0.9833024118738405,0.0,0.035764237562922574,0.10905951245626082
HRPOSTMED,0.7198515769944341,0.04098388308161982,0.04122136481878513,0.10894189699405085
MCACITY,0.9670686456400742,0.013319798887297285,0.013662178788337087,0.10879739753288692
SCOPA_SCAU26C,0.9823747680890538,0.01731233014135336,0.0,0.10862487489371739
GDSGSPIR,0.9795918367346939,0.007315953971364975,0.02088421326036105,0.1086140200343967
GDSSATIS,0.9795918367346939,0.006225175974611918,0.022105016881439177,0.1083257943226683
MCACLCKH,0.9675324675324676,0.0,0.03820938250830519,0.10821606150573831
ESS_ESS3,0.9814471243042672,0.0,0.03350598346850919,0.10819650747097947
MCABDS,0.9675324675324676,0.015974638938698105,0.004868172345569022,0.10779848182013632
SCOPA_SCAU11,0.9819109461966605,0.0,0.031154503645527853,0.10753744571332442
MCACLCKN,0.9675324675324676,0.0,0.03501216181353417,0.107256895297307
COGDECLN,0.9267161410018553,0.0,0.04836214369608882,0.10718025720901218
SCOPA_SCAU10,0.9819109461966605,0.00790263079172604,0.013764613783415314,0.10706205722972628
ESS_ESS7,0.9819109461966605,0.010892901621231355,0.007781726105672959,0.10706135342410676
GDSAFRAD,0.9795918367346939,0.011286789478314851,0.0073625113223423355,0.106940010757161
RBDSQ_SLPLMBMV,0.9828385899814471,0.012703795050247102,0.0028994789949612354,0.10677597972678135
QUIP_HOBBYISM_PUNDING,0.9819109461966605,0.0008338974565669233,0.025525729737352343,0.10634915201481192
ESS_ESS6,0.9814471243042672,0.0,0.02725855163738533,0.10632227792164231
RBDSQ_DRMAGRAC,0.9833024118738405,0.0,0.02662843075946153,0.10631877041522252
QUIP_CNTRLDSM,0.9819109461966605,0.0052224867078503046,0.016146978142708157,0.10616868008718869
VITAL_SYSSUP_y,0.9698515769944341,0.0045074701804816986,0.02156940615545988,0.1061604616543704
DYSKPRES,0.961038961038961,0.010270446039191139,0.012850126165283804,0.10612120157699594
RBDSQ_EPILEPSY,0.9833024118738405,0.005183949720744652,0.014553401562166002,0.10580663148848064
MCAPLACE,0.9670686456400742,0.0,0.029723861761059567,0.1056240230923253
VITAL_HRSUP_y,0.9693877551020408,0.0024334481300001265,0.023500989413293816,0.1054491412121923
